PLR_NAME,BEZ_NAME,rang_hitze,rang_gruen,hitze_gruen_score,rang_sozial
Bahnhof Schöneweide,Treptow-Köpenick,37.3,57.7,95.0,48.9
Zitadellenweg,Spandau,33.0,61.3,94.3,51.7
Carl-Schurz-Straße,Spandau,49.3,45.0,94.3,79.2
Köpenicker Straße,Friedrichshain-Kreuzberg,38.2,55.4,93.6,88.6
Ludwigkirchplatz,Charlottenburg-Wilmersdorf,47.2,46.1,93.3,36.0
Volkspark (Rudolph-Wilde-Park),Tempelhof-Schöneberg,43.9,49.3,93.2,62.9
Trelleborger Viertel,Pankow,54.1,39.1,93.2,31.2
Kollwitzplatz,Pankow,57.0,36.0,93.0,16.8
Alt-Lietzow,Charlottenburg-Wilmersdorf,41.0,51.8,92.8,60.0
Askanischer Platz,Friedrichshain-Kreuzberg,39.1,53.7,92.8,98.2
Haveleck,Spandau,18.8,72.5,91.3,50.0
Hohenschönhausener Straße,Lichtenberg,34.1,57.2,91.3,78.0
Nahariyastraße,Tempelhof-Schöneberg,56.1,34.7,90.8,86.0
Nordufer,Mitte,26.4,64.4,90.8,87.6
Hundsteinweg,Tempelhof-Schöneberg,53.9,36.9,90.8,48.0
Helmholtz-Kiez,Treptow-Köpenick,29.0,61.6,90.6,68.3
Westerwaldstraße,Spandau,53.3,37.1,90.4,94.8
Maybachufer,Neukölln,34.7,55.5,90.2,77.5
Alvenslebenstraße,Tempelhof-Schöneberg,41.9,48.3,90.2,91.3
Kaiser-Wilhelm-Straße,Steglitz-Zehlendorf,62.5,27.3,89.8,52.8
Franziusweg,Tempelhof-Schöneberg,73.2,16.6,89.8,16.4
Moritzplatz,Friedrichshain-Kreuzberg,50.6,38.9,89.5,97.0
Wismarplatz,Friedrichshain-Kreuzberg,45.8,42.8,88.6,52.2
Prager Platz,Charlottenburg-Wilmersdorf,52.0,36.3,88.3,39.1
Ceciliengärten,Tempelhof-Schöneberg,43.0,45.2,88.2,25.5
Handwerker-Siedlung,Neukölln,59.0,28.6,87.6,60.3
Kurstraße,Spandau,37.1,50.2,87.3,95.8
Allende I,Treptow-Köpenick,31.2,55.7,86.9,47.2
Teichstraße,Reinickendorf,51.5,35.1,86.6,73.2
Kissingenviertel,Pankow,46.9,39.5,86.4,30.6
Thomasiusstraße,Mitte,35.6,50.6,86.2,44.1
Fennpfuhl Ost,Lichtenberg,35.4,50.4,85.8,70.3
Gallwitzallee,Steglitz-Zehlendorf,53.0,32.5,85.5,63.3
Kaulsdorf Süd,Marzahn-Hellersdorf,49.6,35.8,85.4,4.4
Bouchéstraße,Neukölln,40.6,44.1,84.7,83.6
Wrangelkiez,Friedrichshain-Kreuzberg,33.2,51.5,84.7,80.6
Magistratsweg,Spandau,46.3,38.0,84.3,82.5
Bosepark,Tempelhof-Schöneberg,42.6,40.0,82.6,57.6
Halensee,Charlottenburg-Wilmersdorf,40.0,42.4,82.4,35.1
Oranienplatz,Friedrichshain-Kreuzberg,39.7,41.9,81.6,94.1
Hausotterplatz,Reinickendorf,50.4,30.4,80.8,81.9
Springpfuhl,Marzahn-Hellersdorf,36.7,43.4,80.1,67.2
Preußenpark,Charlottenburg-Wilmersdorf,41.7,38.2,79.9,32.1
Nonnendammallee,Spandau,28.8,50.7,79.5,72.1
Berlepschstraße,Steglitz-Zehlendorf,51.3,28.0,79.3,15.5
Bremer Straße,Mitte,37.6,41.3,78.9,76.9
Thielallee,Steglitz-Zehlendorf,44.5,32.7,77.2,2.4
Teterower Ring,Marzahn-Hellersdorf,30.8,45.8,76.6,46.5
